Date,Open,High,Low,Close,Adj Close,Volume,Market and Exchange Names,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Net_Position_NonComm,Net_Position_Comm,Net_Position_NonRept,COT_Index_NonComm,COT_Index_Comm,COT_Index_NonRept,COT_Index_OI,OI_Percentage_Comm,OI_Percentage_Short
2023-03-28,78.0,78.25,77.4000015258789,77.75,77.75,6354,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220266.0,63404.0,81057.0,80723.0,63373.0,25180.0,24877.0,-17653.0,17350.0,303.0,,,,,,
2023-03-29,77.1500015258789,77.5999984741211,76.6500015258789,76.7750015258789,76.7750015258789,5738,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220266.0,63404.0,81057.0,80723.0,63373.0,25180.0,24877.0,-17653.0,17350.0,303.0,,,,,,
2023-03-30,76.7750015258789,77.30000305175781,76.3499984741211,76.44999694824219,76.44999694824219,4846,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220266.0,63404.0,81057.0,80723.0,63373.0,25180.0,24877.0,-17653.0,17350.0,303.0,,,,,,
2023-03-31,76.0,76.4000015258789,75.0,75.25,75.25,7190,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220266.0,63404.0,81057.0,80723.0,63373.0,25180.0,24877.0,-17653.0,17350.0,303.0,,,,,,
2023-04-03,74.69999694824219,75.25,74.125,74.5250015258789,74.5250015258789,6903,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220437.0,64990.0,86993.0,82478.0,60495.0,24503.0,24483.0,-22003.0,21983.0,20.0,,,,,,
2023-04-04,74.5250015258789,75.25,72.0999984741211,72.2249984741211,72.2249984741211,8986,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220437.0,64990.0,86993.0,82478.0,60495.0,24503.0,24483.0,-22003.0,21983.0,20.0,,,,,,
2023-04-05,71.9749984741211,74.30000305175781,71.9749984741211,73.4000015258789,73.4000015258789,11109,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220437.0,64990.0,86993.0,82478.0,60495.0,24503.0,24483.0,-22003.0,21983.0,20.0,,,,,,
2023-04-06,73.4000015258789,74.25,73.375,74.1500015258789,74.1500015258789,0,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220437.0,64990.0,86993.0,82478.0,60495.0,24503.0,24483.0,-22003.0,21983.0,20.0,,,,,,
2023-04-10,73.5,73.9000015258789,73.30000305175781,73.375,73.375,5022,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220437.0,64990.0,86993.0,82478.0,60495.0,24503.0,24483.0,-22003.0,21983.0,20.0,,,,,,
2023-04-11,73.0,73.30000305175781,72.8499984741211,73.05000305175781,73.05000305175781,3726,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,223567.0,67173.0,86962.0,80675.0,61196.0,26223.0,25913.0,-19789.0,19479.0,310.0,,,,,,
2023-04-12,72.9749984741211,73.1500015258789,72.0250015258789,72.30000305175781,72.30000305175781,4094,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,223567.0,67173.0,86962.0,80675.0,61196.0,26223.0,25913.0,-19789.0,19479.0,310.0,,,,,,
2023-04-13,72.0,72.17500305175781,71.5,71.5999984741211,71.5999984741211,3983,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,223567.0,67173.0,86962.0,80675.0,61196.0,26223.0,25913.0,-19789.0,19479.0,310.0,,,,,,
2023-04-14,71.9000015258789,71.92500305175781,71.57499694824219,71.75,71.75,2379,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,223567.0,67173.0,86962.0,80675.0,61196.0,26223.0,25913.0,-19789.0,19479.0,310.0,,,,,,
2023-04-17,71.8499984741211,71.92500305175781,71.75,71.875,71.875,600,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,228791.0,65097.0,89189.0,82733.0,61110.0,27981.0,25512.0,-24092.0,21623.0,2469.0,,,,,,
