"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"COFFEE C - ICE FUTURES U.S.",240116,2024-01-16,083731,ICUS,01,083 ,  221338,   72967,   23585,   59386,   78642,  129789,  210995,  212760,   10343,    8578,  200782,   75025,   32013,   43848,   72107,  117016,  190980,  192877,    9802,    7905,   20556,   13198,    6828,     282,    6535,   12773,   20015,   19883,     541,     673,     962,    -196,   -3990,    2524,   -1634,    1805,     694,     339,     268,     623,  100.0,   33.0,   10.7,   26.8,   35.5,   58.6,   95.3,   96.1,    4.7,    3.9,  100.0,   37.4,   15.9,   21.8,   35.9,   58.3,   95.1,   96.1,    4.9,    3.9,  100.0,   64.2,   33.2,    1.4,   31.8,   62.1,   97.4,   96.7,    2.6,    3.3,    362,    148,     68,    102,    102,    122,    297,    253,    357,    150,     63,     97,     96,    118,    287,    244,    142,     24,     27,     11,     53,     60,     84,     92,    14.0,    20.5,    23.7,    35.7,     9.6,    16.1,    15.9,    23.1,    13.7,    21.7,    22.5,    37.0,    10.5,    17.7,    17.2,    27.5,    66.9,    26.1,    76.5,    43.5,    61.9,    26.0,    70.1,    42.1,"(CONTRACTS OF 37,500 POUNDS)","083731","ICUS","083 "
"COFFEE C - ICE FUTURES U.S.",240109,2024-01-09,083731,ICUS,01,083 ,  220376,   73163,   27575,   56862,   80276,  127984,  210301,  212421,   10075,    7955,  200696,   74632,   34868,   42697,   73781,  115725,  191110,  193290,    9586,    7406,   19680,   12299,    6475,     397,    6495,   12259,   19191,   19131,     489,     549,   -2923,   -1037,   -3197,     981,   -2803,     -86,   -2859,   -2302,     -64,    -621,  100.0,   33.2,   12.5,   25.8,   36.4,   58.1,   95.4,   96.4,    4.6,    3.6,  100.0,   37.2,   17.4,   21.3,   36.8,   57.7,   95.2,   96.3,    4.8,    3.7,  100.0,   62.5,   32.9,    2.0,   33.0,   62.3,   97.5,   97.2,    2.5,    2.8,    371,    132,     81,    108,    109,    126,    302,    268,    366,    134,     78,    103,    103,    122,    293,    258,    146,     27,     26,     11,     58,     60,     88,     94,    12.8,    19.4,    23.0,    34.5,    10.2,    16.1,    17.0,    23.2,    13.2,    20.3,    22.6,    35.7,    11.0,    17.3,    18.3,    27.1,    65.0,    25.5,    75.3,    44.0,    60.3,    25.4,    68.9,    42.8,"(CONTRACTS OF 37,500 POUNDS)","083731","ICUS","083 "
"COFFEE C - ICE FUTURES U.S.",240102,2024-01-02,083731,ICUS,01,083 ,  223299,   74200,   30772,   55881,   83079,  128070,  213160,  214723,   10139,    8576,  203627,   75718,   37642,   42022,   76325,  116067,  194065,  195731,    9562,    7896,   19672,   11931,    6579,     410,    6754,   12003,   19095,   18992,     577,     680,    2447,    -113,     375,    2781,    1078,     -18,    3746,    3138,   -1299,    -691,  100.0,   33.2,   13.8,   25.0,   37.2,   57.4,   95.5,   96.2,    4.5,    3.8,  100.0,   37.2,   18.5,   20.6,   37.5,   57.0,   95.3,   96.1,    4.7,    3.9,  100.0,   60.6,   33.4,    2.1,   34.3,   61.0,   97.1,   96.5,    2.9,    3.5,    370,    137,     80,    106,    108,    124,    300,    266,    366,    137,     79,    102,    103,    120,    293,    257,    141,     24,     25,     10,     59,     56,     87,     88,    13.1,    20.2,    23.2,    34.9,    10.6,    16.2,    17.7,    23.9,    13.0,    21.0,    22.7,    36.0,    11.3,    17.6,    19.0,    27.4,    63.2,    24.4,    74.4,    43.1,    58.1,    24.2,    67.8,    41.6,"(CONTRACTS OF 37,500 POUNDS)","083731","ICUS","083 "
"SILVER - COMMODITY EXCHANGE INC.",240123,2024-01-23,084691,CMX ,01,084 ,  138617,   53121,   35384,   13236,   41949,   76020,  108306,  124640,   30311,   13977,  138617,   53121,   35384,   13236,   41949,   76020,  108306,  124640,   30311,   13977,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6661,    -880,    6976,    1696,    5467,   -4221,    6283,    4451,     378,    2210,  100.0,   38.3,   25.5,    9.5,   30.3,   54.8,   78.1,   89.9,   21.9,   10.1,  100.0,   38.3,   25.5,    9.5,   30.3,   54.8,   78.1,   89.9,   21.9,   10.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    232,    116,     54,     54,     40,     37,    180,    124,    232,    116,     54,     54,     40,     37,    180,    124,      0,      0,      0,      0,      0,      0,      0,      0,    15.1,    31.9,    23.4,    46.4,    14.7,    31.0,    22.5,    44.1,    15.1,    31.9,    23.4,    46.4,    14.7,    31.0,    22.5,    44.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 5,000 TROY OUNCES)","084691","CMX ","084 "
"SILVER - COMMODITY EXCHANGE INC.",240116,2024-01-16,084691,CMX ,01,084 ,  131956,   54001,   28408,   11540,   36482,   80241,  102023,  120189,   29933,   11767,  131956,   54001,   28408,   11540,   36482,   80241,  102023,  120189,   29933,   11767,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -36,    1115,    1884,     307,   -2013,   -2009,    -591,     182,     555,    -218,  100.0,   40.9,   21.5,    8.7,   27.6,   60.8,   77.3,   91.1,   22.7,    8.9,  100.0,   40.9,   21.5,    8.7,   27.6,   60.8,   77.3,   91.1,   22.7,    8.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    219,    117,     46,     53,     36,     35,    176,    113,    219,    117,     46,     53,     36,     35,    176,    113,      0,      0,      0,      0,      0,      0,      0,      0,    15.4,    34.8,    23.9,    50.9,    14.9,    33.9,    22.9,    48.0,    15.4,    34.8,    23.9,    50.9,    14.9,    33.9,    22.9,    48.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 5,000 TROY OUNCES)","084691","CMX ","084 "
"SILVER - COMMODITY EXCHANGE INC.",240109,2024-01-09,084691,CMX ,01,084 ,  131992,   52886,   26524,   11233,   38495,   82250,  102614,  120007,   29378,   11985,  131992,   52886,   26524,   11233,   38495,   82250,  102614,  120007,   29378,   11985,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -2733,   -4748,    1460,     425,     388,   -6404,   -3935,   -4519,    1202,    1786,  100.0,   40.1,   20.1,    8.5,   29.2,   62.3,   77.7,   90.9,   22.3,    9.1,  100.0,   40.1,   20.1,    8.5,   29.2,   62.3,   77.7,   90.9,   22.3,    9.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    209,    107,     45,     52,     38,     36,    169,    109,    209,    107,     45,     52,     38,     36,    169,    109,      0,      0,      0,      0,      0,      0,      0,      0,    15.7,    34.6,    24.7,    50.6,    15.4,    33.4,    23.8,    46.9,    15.7,    34.6,    24.7,    50.6,    15.4,    33.4,    23.8,    46.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 5,000 TROY OUNCES)","084691","CMX ","084 "
"SILVER - COMMODITY EXCHANGE INC.",240102,2024-01-02,084691,CMX ,01,084 ,  134725,   57634,   25064,   10808,   38107,   88654,  106549,  124526,   28176,   10199,  134725,   57634,   25064,   10808,   38107,   88654,  106549,  124526,   28176,   10199,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3317,    3075,    2368,    1824,    1718,    -357,    6617,    3835,   -3300,    -518,  100.0,   42.8,   18.6,    8.0,   28.3,   65.8,   79.1,   92.4,   20.9,    7.6,  100.0,   42.8,   18.6,    8.0,   28.3,   65.8,   79.1,   92.4,   20.9,    7.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    206,    104,     43,     47,     37,     37,    162,    108,    206,    104,     43,     47,     37,     37,    162,    108,      0,      0,      0,      0,      0,      0,      0,      0,    14.9,    35.9,    24.5,    52.3,    14.8,    33.5,    23.7,    47.5,    14.9,    35.9,    24.5,    52.3,    14.8,    33.5,    23.7,    47.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 5,000 TROY OUNCES)","084691","CMX ","084 "
"COPPER- #1 - COMMODITY EXCHANGE INC.",240123,2024-01-23,085692,CMX ,01,085 ,  233110,   66369,   96292,   54030,   96985,   69290,  217384,  219612,   15726,   13498,  233110,   66369,   96292,   54030,   96985,   69290,  217384,  219612,   15726,   13498,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   13795,    3961,    8578,    5512,    3452,   -1392,   12925,   12698,     870,    1097,  100.0,   28.5,   41.3,   23.2,   41.6,   29.7,   93.3,   94.2,    6.7,    5.8,  100.0,   28.5,   41.3,   23.2,   41.6,   29.7,   93.3,   94.2,    6.7,    5.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    311,    137,     84,    105,     62,     65,    248,    215,    311,    137,     84,    105,     62,     65,    248,    215,      0,      0,      0,      0,      0,      0,      0,      0,    17.7,    18.6,    27.8,    30.6,    13.9,    17.5,    22.5,    28.1,    17.7,    18.6,    27.8,    30.6,    13.9,    17.5,    22.5,    28.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 25,000 POUNDS)","085692","CMX ","085 "
"COPPER- #1 - COMMODITY EXCHANGE INC.",240116,2024-01-16,085692,CMX ,01,085 ,  219315,   62408,   87714,   48518,   93533,   70682,  204459,  206914,   14856,   12401,  219315,   62408,   87714,   48518,   93533,   70682,  204459,  206914,   14856,   12401,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   12599,   -1854,   10285,     169,   15825,    2003,   14140,   12457,   -1541,     142,  100.0,   28.5,   40.0,   22.1,   42.6,   32.2,   93.2,   94.3,    6.8,    5.7,  100.0,   28.5,   40.0,   22.1,   42.6,   32.2,   93.2,   94.3,    6.8,    5.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    318,    136,     89,     97,     67,     64,    247,    215,    318,    136,     89,     97,     67,     64,    247,    215,      0,      0,      0,      0,      0,      0,      0,      0,    18.5,    18.3,    29.2,    32.1,    13.9,    17.1,    23.2,    28.3,    18.5,    18.3,    29.2,    32.1,    13.9,    17.1,    23.2,    28.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 25,000 POUNDS)","085692","CMX ","085 "
"COPPER- #1 - COMMODITY EXCHANGE INC.",240109,2024-01-09,085692,CMX ,01,085 ,  206716,   64262,   77429,   48349,   77708,   68679,  190319,  194457,   16397,   12259,  206716,   64262,   77429,   48349,   77708,   68679,  190319,  194457,   16397,   12259,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   15964,   -6332,   15452,    8104,   13507,   -7160,   15279,   16396,     685,    -432,  100.0,   31.1,   37.5,   23.4,   37.6,   33.2,   92.1,   94.1,    7.9,    5.9,  100.0,   31.1,   37.5,   23.4,   37.6,   33.2,   92.1,   94.1,    7.9,    5.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    311,    139,     84,     99,     62,     61,    246,    206,    311,    139,     84,     99,     62,     61,    246,    206,      0,      0,      0,      0,      0,      0,      0,      0,    15.7,    19.6,    26.6,    31.7,    15.3,    17.6,    23.1,    26.6,    15.7,    19.6,    26.6,    31.7,    15.3,    17.6,    23.1,    26.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 25,000 POUNDS)","085692","CMX ","085 "
"COPPER- #1 - COMMODITY EXCHANGE INC.",240102,2024-01-02,085692,CMX ,01,085 ,  190752,   70594,   61977,   40245,   64201,   75839,  175040,  178061,   15712,   12691,  190752,   70594,   61977,   40245,   64201,   75839,  175040,  178061,   15712,   12691,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1021,   -2492,   -4032,    4630,   -1660,    -178,     478,     420,     543,     601,  100.0,   37.0,   32.5,   21.1,   33.7,   39.8,   91.8,   93.3,    8.2,    6.7,  100.0,   37.0,   32.5,   21.1,   33.7,   39.8,   91.8,   93.3,    8.2,    6.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    282,    123,     74,     88,     55,     58,    223,    183,    282,    123,     74,     88,     55,     58,    223,    183,      0,      0,      0,      0,      0,      0,      0,      0,    15.7,    21.1,    26.2,    34.9,    15.4,    19.8,    24.3,    31.2,    15.7,    21.1,    26.2,    34.9,    15.4,    19.8,    24.3,    31.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 25,000 POUNDS)","085692","CMX ","085 "
"GOLD - COMMODITY EXCHANGE INC.",240123,2024-01-23,088691,CMX ,01,088 ,  465872,  241100,   71626,   66034,  113094,  305187,  420228,  442847,   45644,   23025,  465872,  241100,   71626,   66034,  113094,  305187,  420228,  442847,   45644,   23025,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -23462,  -21260,  -10841,   -2013,    3807,  -11520,  -19466,  -24374,   -3996,     912,  100.0,   51.8,   15.4,   14.2,   24.3,   65.5,   90.2,   95.1,    9.8,    4.9,  100.0,   51.8,   15.4,   14.2,   24.3,   65.5,   90.2,   95.1,    9.8,    4.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    302,    165,     67,     98,     52,     53,    261,    179,    302,    165,     67,     98,     52,     53,    261,    179,      0,      0,      0,      0,      0,      0,      0,      0,    15.0,    33.3,    24.1,    49.8,    14.8,    31.8,    23.5,    46.8,    15.0,    33.3,    24.1,    49.8,    14.8,    31.8,    23.5,    46.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 100 TROY OUNCES)","088691","CMX ","088 "
"GOLD - COMMODITY EXCHANGE INC.",240116,2024-01-16,088691,CMX ,01,088 ,  489334,  262360,   82467,   68047,  109287,  316707,  439694,  467221,   49640,   22113,  489334,  262360,   82467,   68047,  109287,  316707,  439694,  467221,   49640,   22113,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -515,   -9305,    -584,    6926,    2798,   -7483,     419,   -1141,    -934,     626,  100.0,   53.6,   16.9,   13.9,   22.3,   64.7,   89.9,   95.5,   10.1,    4.5,  100.0,   53.6,   16.9,   13.9,   22.3,   64.7,   89.9,   95.5,   10.1,    4.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    308,    169,     69,     96,     49,     50,    258,    180,    308,    169,     69,     96,     49,     50,    258,    180,      0,      0,      0,      0,      0,      0,      0,      0,    14.3,    32.6,    22.9,    48.8,    14.1,    31.5,    22.4,    46.0,    14.3,    32.6,    22.9,    48.8,    14.1,    31.5,    22.4,    46.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 100 TROY OUNCES)","088691","CMX ","088 "
"GOLD - COMMODITY EXCHANGE INC.",240109,2024-01-09,088691,CMX ,01,088 ,  489849,  271665,   83051,   61121,  106489,  324190,  439275,  468362,   50574,   21487,  489849,  271665,   83051,   61121,  106489,  324190,  439275,  468362,   50574,   21487,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -10515,  -19041,      -6,    9467,   -2315,  -20092,  -11889,  -10631,    1374,     116,  100.0,   55.5,   17.0,   12.5,   21.7,   66.2,   89.7,   95.6,   10.3,    4.4,  100.0,   55.5,   17.0,   12.5,   21.7,   66.2,   89.7,   95.6,   10.3,    4.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    309,    174,     68,     91,     46,     47,    260,    170,    309,    174,     68,     91,     46,     47,    260,    170,      0,      0,      0,      0,      0,      0,      0,      0,    14.3,    33.0,    23.5,    49.7,    14.2,    32.1,    22.7,    47.3,    14.3,    33.0,    23.5,    49.7,    14.2,    32.1,    22.7,    47.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 100 TROY OUNCES)","088691","CMX ","088 "
"GOLD - COMMODITY EXCHANGE INC.",240102,2024-01-02,088691,CMX ,01,088 ,  500364,  290706,   83057,   51654,  108804,  344282,  451164,  478993,   49200,   21371,  500364,  290706,   83057,   51654,  108804,  344282,  451164,  478993,   49200,   21371,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    9021,     863,     932,    4141,    2853,    5986,    7857,   11059,    1164,   -2038,  100.0,   58.1,   16.6,   10.3,   21.7,   68.8,   90.2,   95.7,    9.8,    4.3,  100.0,   58.1,   16.6,   10.3,   21.7,   68.8,   90.2,   95.7,    9.8,    4.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    319,    179,     66,     88,     51,     54,    270,    173,    319,    179,     66,     88,     51,     54,    270,    173,      0,      0,      0,      0,      0,      0,      0,      0,    14.0,    32.9,    23.0,    50.3,    13.8,    31.6,    22.2,    46.5,    14.0,    32.9,    23.0,    50.3,    13.8,    31.6,    22.2,    46.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 100 TROY OUNCES)","088691","CMX ","088 "
"MICRO GOLD - COMMODITY EXCHANGE INC.",240123,2024-01-23,088695,CMX ,01,088 ,   39256,   16333,   18001,    8873,       0,       0,   25206,   26874,   14050,   12382,   39256,   16333,   18001,    8873,       0,       0,   25206,   26874,   14050,   12382,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     720,     908,    -284,    1417,       0,       0,    2325,    1133,   -1605,    -413,  100.0,   41.6,   45.9,   22.6,    0.0,    0.0,   64.2,   68.5,   35.8,   31.5,  100.0,   41.6,   45.9,   22.6,    0.0,    0.0,   64.2,   68.5,   35.8,   31.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,     12,      9,      8,      0,      0,     13,     16,     21,     12,      9,      8,      0,      0,     13,     16,      0,      0,      0,      0,      0,      0,      0,      0,    35.7,    53.0,    54.4,    62.4,    26.8,    42.5,    38.4,    45.3,    35.7,    53.0,    54.4,    62.4,    26.8,    42.5,    38.4,    45.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 10 TROY OUNCES)","088695","CMX ","088 "
"MICRO GOLD - COMMODITY EXCHANGE INC.",240116,2024-01-16,088695,CMX ,01,088 ,   38536,   15425,   18285,    7456,       0,       0,   22881,   25741,   15655,   12795,   38536,   15425,   18285,    7456,       0,       0,   22881,   25741,   15655,   12795,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2165,   -1314,    -664,    2488,       0,       0,    1174,    1824,     991,     341,  100.0,   40.0,   47.4,   19.3,    0.0,    0.0,   59.4,   66.8,   40.6,   33.2,  100.0,   40.0,   47.4,   19.3,    0.0,    0.0,   59.4,   66.8,   40.6,   33.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,     11,      9,      8,      0,      0,     13,     15,     20,     11,      9,      8,      0,      0,     13,     15,      0,      0,      0,      0,      0,      0,      0,      0,    37.7,    50.8,    52.6,    61.6,    26.8,    43.0,    37.2,    46.9,    37.7,    50.8,    52.6,    61.6,    26.8,    43.0,    37.2,    46.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 10 TROY OUNCES)","088695","CMX ","088 "
"MICRO GOLD - COMMODITY EXCHANGE INC.",240109,2024-01-09,088695,CMX ,01,088 ,   36371,   16739,   18949,    4968,       0,       0,   21707,   23917,   14664,   12454,   36371,   16739,   18949,    4968,       0,       0,   21707,   23917,   14664,   12454,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,.,.,.,.,.,.,.,.,.,.,  100.0,   46.0,   52.1,   13.7,    0.0,    0.0,   59.7,   65.8,   40.3,   34.2,  100.0,   46.0,   52.1,   13.7,    0.0,    0.0,   59.7,   65.8,   40.3,   34.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,     11,     11,     10,      0,      0,     15,     17,     22,     11,     11,     10,      0,      0,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,    36.6,    47.5,    54.2,    59.0,    29.4,    44.9,    42.4,    50.3,    36.6,    47.5,    54.2,    59.0,    29.4,    44.9,    42.4,    50.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 10 TROY OUNCES)","088695","CMX ","088 "
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240123,2024-01-23,090741,CME ,00,090 ,  155138,   34310,   42761,    2050,   87877,   84716,  124237,  129527,   30901,   25611,  155138,   34310,   42761,    2050,   87877,   84716,  124237,  129527,   30901,   25611,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -10860,   -4428,   -9365,    -557,   -3906,   -2139,   -8891,  -12061,   -1969,    1201,  100.0,   22.1,   27.6,    1.3,   56.6,   54.6,   80.1,   83.5,   19.9,   16.5,  100.0,   22.1,   27.6,    1.3,   56.6,   54.6,   80.1,   83.5,   19.9,   16.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    100,     22,     26,     12,     29,     33,     57,     65,    100,     22,     26,     12,     29,     33,     57,     65,      0,      0,      0,      0,      0,      0,      0,      0,    47.4,    29.5,    56.9,    41.2,    47.4,    29.5,    55.4,    41.0,    47.4,    29.5,    56.9,    41.2,    47.4,    29.5,    55.4,    41.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 "
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240116,2024-01-16,090741,CME ,00,090 ,  165998,   38738,   52126,    2607,   91783,   86855,  133128,  141588,   32870,   24410,  165998,   38738,   52126,    2607,   91783,   86855,  133128,  141588,   32870,   24410,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -5559,   -3548,    2460,     531,   -2059,   -8774,   -5076,   -5783,    -483,     224,  100.0,   23.3,   31.4,    1.6,   55.3,   52.3,   80.2,   85.3,   19.8,   14.7,  100.0,   23.3,   31.4,    1.6,   55.3,   52.3,   80.2,   85.3,   19.8,   14.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    107,     25,     29,     11,     28,     35,     59,     69,    107,     25,     29,     11,     28,     35,     59,     69,      0,      0,      0,      0,      0,      0,      0,      0,    44.4,    27.8,    54.4,    39.0,    44.3,    27.8,    53.3,    38.5,    44.4,    27.8,    54.4,    39.0,    44.3,    27.8,    53.3,    38.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 "
